id,year,term,r1,r2,r3,r4,r5,b1,b2,ball,date,real_date,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
11001,2011,1,15,34,32,8,7,5,12,1,20110101,2011-01-01,2011-05-09,2011-05-28,2011-05-26,2011-05-02,2011-05-01,2011-12-12,2011-12-31,2011-12-29,2011-12-05,2011-12-04
11002,2011,2,29,28,11,27,13,2,6,3,20110103,2011-01-03,2011-02-28,2011-02-27,2011-02-10,2011-02-26,2011-02-12,2011-06-27,2011-06-26,2011-06-09,2011-06-25,2011-06-11
11003,2011,3,31,24,27,30,1,1,6,2,20110105,2011-01-05,2011-01-26,2011-01-19,2011-01-22,2011-01-25,2010-12-27,2011-06-29,2011-06-22,2011-06-25,2011-06-28,2011-05-30
11004,2011,4,7,8,23,25,10,9,7,2,20110108,2011-01-08,2011-09-04,2011-09-05,2011-09-20,2011-09-22,2011-09-07,2011-07-03,2011-07-04,2011-07-19,2011-07-21,2011-07-06
11005,2011,5,30,27,25,1,7,12,7,1,20110110,2011-01-10,2011-12-27,2011-12-24,2011-12-22,2011-11-28,2011-12-04,2011-07-26,2011-07-23,2011-07-21,2011-06-27,2011-07-03
11006,2011,6,26,16,35,2,8,11,12,2,20110112,2011-01-12,2011-11-25,2011-11-15,2011-12-04,2011-11-01,2011-11-07,2011-12-23,2011-12-13,2012-01-01,2011-11-29,2011-12-05
11007,2011,7,32,24,33,14,35,2,9,2,20110115,2011-01-15,2011-03-03,2011-02-23,2011-03-04,2011-02-13,2011-03-06,2011-09-29,2011-09-21,2011-09-30,2011-09-11,2011-10-02
11008,2011,8,1,30,26,23,27,5,6,1,20110117,2011-01-17,2011-04-25,2011-05-24,2011-05-20,2011-05-17,2011-05-21,2011-05-30,2011-06-28,2011-06-24,2011-06-21,2011-06-25
11009,2011,9,10,14,11,9,24,3,8,1,20110119,2011-01-19,2011-03-09,2011-03-13,2011-03-10,2011-03-08,2011-03-23,2011-08-10,2011-08-14,2011-08-11,2011-08-09,2011-08-24
11010,2011,10,4,14,8,27,10,7,5,1,20110122,2011-01-22,2011-06-30,2011-07-10,2011-07-04,2011-07-23,2011-07-06,2011-04-28,2011-05-08,2011-05-02,2011-05-21,2011-05-04
11011,2011,11,2,24,30,23,17,9,2,1,20110124,2011-01-24,2011-08-30,2011-09-21,2011-09-27,2011-09-20,2011-09-14,2011-02-01,2011-02-23,2011-03-01,2011-02-22,2011-02-16
11012,2011,12,19,3,12,30,25,11,8,1,20110126,2011-01-26,2011-11-18,2011-11-02,2011-11-11,2011-11-29,2011-11-24,2011-08-19,2011-08-03,2011-08-12,2011-08-30,2011-08-25
